person_id,file_id,touches,recency_weight,first_seen,last_seen,sensitive_weight
github@rageltd.ca,packages/server/package.json,14,12.649737,2026-04-12T19:20:13-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/scripts/check-web-transport.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/scripts/measure-web.ts,4,3.987686,2026-07-11T16:26:25-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/app.ts,4,3.987752,2026-07-11T16:19:07-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/auth-forms.tsx,2,1.995857,2026-07-11T18:07:28-07:00,2026-07-12T16:47:58-07:00,2.00
github@rageltd.ca,packages/server/src/web/browser/credential-ceremony.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,1.00
github@rageltd.ca,packages/server/src/web/browser/credentials-element.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,1.00
github@rageltd.ca,packages/server/src/web/chrome.tsx,3,2.991885,2026-07-11T17:35:16-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/compression.test.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/compression.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/credential-actions.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,1.00
github@rageltd.ca,packages/server/src/web/credentials.test.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/credentials.tsx,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/forms.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/index.tsx,6,5.979624,2026-07-11T16:19:07-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/islands.ts,1,0.999744,2026-07-12T16:47:58-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/transfer-budget.test.ts,4,3.987686,2026-07-11T16:26:25-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/web/transfer-budget.ts,2,1.995588,2026-07-11T16:26:25-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/tsconfig.json,3,2.700064,2026-04-12T19:20:13-07:00,2026-07-12T16:47:58-07:00,0.00
github@rageltd.ca,packages/server/src/auth/claim.ts,2,1.966559,2026-07-04T23:25:31-07:00,2026-07-11T18:07:28-07:00,2.00
github@rageltd.ca,packages/server/src/auth/paths.ts,1,0.996113,2026-07-11T18:07:28-07:00,2026-07-11T18:07:28-07:00,1.00
github@rageltd.ca,packages/server/src/web/auth-forms.test.ts,1,0.996113,2026-07-11T18:07:28-07:00,2026-07-11T18:07:28-07:00,0.00
github@rageltd.ca,packages/server/src/web/chrome.test.ts,3,2.988211,2026-07-11T17:35:16-07:00,2026-07-11T18:07:28-07:00,0.00
github@rageltd.ca,packages/server/src/app.test.ts,3,2.987922,2026-07-11T16:19:07-07:00,2026-07-11T17:51:15-07:00,0.00
github@rageltd.ca,packages/server/src/middleware/identity.ts,5,4.899119,2026-07-04T23:25:31-07:00,2026-07-11T17:51:15-07:00,5.00
github@rageltd.ca,packages/server/src/middleware/web-access.ts,1,0.996070,2026-07-11T17:51:15-07:00,2026-07-11T17:51:15-07:00,1.00
github@rageltd.ca,packages/server/src/web/paths.test.ts,1,0.996070,2026-07-11T17:51:15-07:00,2026-07-11T17:51:15-07:00,0.00
github@rageltd.ca,packages/server/src/web/paths.ts,1,0.996070,2026-07-11T17:51:15-07:00,2026-07-11T17:51:15-07:00,0.00
github@rageltd.ca,packages/server/src/index.ts,21,18.765612,2026-04-12T19:20:13-07:00,2026-07-11T16:19:07-07:00,0.00
github@rageltd.ca,packages/oc-plugin/src/index.ts,8,7.873204,2026-07-05T21:38:47-07:00,2026-07-10T23:00:37-07:00,0.00
github@rageltd.ca,packages/oc-plugin/src/org-memory-tools.test.ts,1,0.993063,2026-07-10T23:00:37-07:00,2026-07-10T23:00:37-07:00,0.00
github@rageltd.ca,packages/oc-plugin/src/org-memory-tools.ts,1,0.993063,2026-07-10T23:00:37-07:00,2026-07-10T23:00:37-07:00,0.00
github-actions[bot]@users.noreply.github.com,packages/oc-plugin/package.json,3,2.963213,2026-07-07T05:13:35+00:00,2026-07-11T05:27:40+00:00,0.00
github@rageltd.ca,README.md,15,13.703639,2026-04-12T19:20:13-07:00,2026-07-10T22:26:32-07:00,0.00
github@rageltd.ca,packages/oc-plugin/README.md,6,5.920373,2026-07-05T21:38:47-07:00,2026-07-10T22:26:32-07:00,0.00
github@rageltd.ca,packages/oc-plugin/artifacts/opencode.json.template,2,1.966885,2026-07-05T21:38:47-07:00,2026-07-10T22:26:32-07:00,0.00
github@rageltd.ca,packages/oc-plugin/artifacts/wrapper.sh.template,5,4.930866,2026-07-05T21:38:47-07:00,2026-07-10T22:26:32-07:00,0.00
github@rageltd.ca,packages/oc-plugin/src/install.test.ts,2,1.985920,2026-07-10T22:16:55-07:00,2026-07-10T22:26:32-07:00,0.00
github@rageltd.ca,packages/oc-plugin/src/install.ts,3,2.959832,2026-07-05T21:38:47-07:00,2026-07-10T22:26:32-07:00,0.00
github-actions[bot]@users.noreply.github.com,packages/cc-plugin/.claude-plugin/plugin.json,10,9.688752,2026-06-08T06:31:59+00:00,2026-07-11T05:18:17+00:00,0.00
github-actions[bot]@users.noreply.github.com,packages/codex-plugin/.codex-plugin/plugin.json,1,0.992950,2026-07-11T05:18:08+00:00,2026-07-11T05:18:08+00:00,0.00
github@rageltd.ca,packages/oc-plugin/commands/mimir-install.md,2,1.966859,2026-07-05T21:38:47-07:00,2026-07-10T22:16:55-07:00,0.00
github@rageltd.ca,packages/oc-plugin/commands/mimir-update.md,2,1.966859,2026-07-05T21:38:47-07:00,2026-07-10T22:16:55-07:00,0.00
github@rageltd.ca,packages/oc-plugin/package.json,3,2.953065,2026-07-05T21:38:47-07:00,2026-07-10T22:16:55-07:00,0.00
github@rageltd.ca,packages/oc-plugin/src/config.test.ts,2,1.966859,2026-07-05T21:38:47-07:00,2026-07-10T22:16:55-07:00,0.00
github@rageltd.ca,packages/oc-plugin/src/config.ts,4,3.926801,2026-07-05T21:38:47-07:00,2026-07-10T22:16:55-07:00,2.00
github@rageltd.ca,packages/oc-plugin/src/tools.ts,5,4.909108,2026-07-05T21:38:47-07:00,2026-07-10T22:16:55-07:00,0.00
github@rageltd.ca,packages/plugin-core/src/cartographer/resolve.test.ts,2,1.983608,2026-07-10T07:54:53-07:00,2026-07-10T22:16:55-07:00,0.00
github@rageltd.ca,packages/plugin-core/src/cartographer/resolve.ts,2,1.983608,2026-07-10T07:54:53-07:00,2026-07-10T22:16:55-07:00,0.00
